 	"TCGA-A6-2670-01A-02T-0822-13"	"TCGA-A6-2672-01A-01T-0827-13"	"TCGA-A6-2674-01A-02T-0822-13"	"TCGA-A6-2676-01A-01T-0827-13"	"TCGA-A6-2677-01A-01T-0822-13"	"TCGA-A6-2678-01A-01T-0822-13"	"TCGA-A6-2683-01A-01T-0822-13"	"TCGA-A6-3807-01A-01T-1021-13"	"TCGA-A6-3808-01A-01T-1021-13"	"TCGA-A6-3809-01A-01T-1021-13"	"TCGA-A6-3810-01A-01T-1021-13"	"TCGA-AA-3514-01A-02T-0822-13"	"TCGA-AA-3516-01A-02T-0827-13"	"TCGA-AA-3517-01A-01T-0822-13"	"TCGA-AA-3518-01A-02T-0827-13"	"TCGA-AA-3524-01A-02T-0822-13"	"TCGA-AA-3525-01A-02T-0827-13"	"TCGA-AA-3526-01A-02T-0822-13"	"TCGA-AA-3534-01A-01T-0822-13"	"TCGA-AA-3538-01A-01T-0822-13"	"TCGA-AA-3543-01A-01T-0827-13"	"TCGA-AA-3552-01A-01T-0822-13"	"TCGA-AA-3555-01A-01T-0822-13"	"TCGA-AA-3558-01A-01T-0822-13"	"TCGA-AA-3561-01A-01T-0822-13"	"TCGA-AA-3562-01A-02T-0822-13"	"TCGA-AA-3666-01A-02T-0906-13"	"TCGA-AA-3667-01A-01T-0906-13"	"TCGA-AA-3672-01A-01T-0906-13"	"TCGA-AA-3675-01A-02T-0906-13"	"TCGA-AA-3679-01A-02T-0906-13"	"TCGA-AA-3681-01A-01T-0906-13"	"TCGA-AA-3685-01A-02T-0906-13"	"TCGA-AA-3693-01A-01T-0906-13"	"TCGA-AA-3695-01A-01T-0906-13"	"TCGA-AA-3696-01A-01T-0906-13"	"TCGA-AA-3710-01A-01T-1021-13"	"TCGA-AA-3715-01A-01T-0906-13"	"TCGA-AA-3811-01A-01T-1021-13"	"TCGA-AA-3812-01A-01T-0906-13"	"TCGA-AA-3818-01A-01T-0906-13"	"TCGA-AA-3821-01A-01T-1021-13"	"TCGA-AA-3831-01A-01T-0906-13"	"TCGA-AA-3837-01A-01T-0906-13"	"TCGA-AA-3842-01A-01T-1021-13"	"TCGA-AA-3844-01A-01T-1021-13"	"TCGA-AA-3846-01A-01T-1021-13"	"TCGA-AA-3848-01A-01T-0906-13"	"TCGA-AA-3854-01A-01T-0906-13"	"TCGA-AA-3855-01A-01T-1021-13"	"TCGA-AA-3856-01A-01T-0906-13"	"TCGA-AA-3860-01A-02T-0906-13"	"TCGA-AA-3861-01A-01T-1021-13"	"TCGA-AA-3862-01A-01T-1021-13"	"TCGA-AA-3864-01A-01T-1021-13"	"TCGA-AA-3866-01A-01T-1021-13"	"TCGA-AA-3869-01A-01T-1021-13"	"TCGA-AA-3877-01A-01T-1021-13"	"TCGA-AA-3939-01A-01T-1021-13"	"TCGA-AA-3941-01A-01T-1021-13"	"TCGA-AA-3947-01A-01T-1021-13"	"TCGA-AA-3949-01A-01T-1021-13"	"TCGA-AA-3950-01A-02T-1021-13"	"TCGA-AA-3952-01A-01T-1021-13"	"TCGA-AA-3966-01A-01T-1114-13"	"TCGA-AA-3968-01A-01T-1021-13"	"TCGA-AA-3975-01A-01T-1021-13"	"TCGA-AA-3976-01A-01T-1021-13"	"TCGA-AA-3977-01A-01T-1021-13"	"TCGA-AA-3979-01A-01T-1021-13"	"TCGA-AA-3986-01A-02T-1021-13"	"TCGA-AA-3989-01A-01T-1021-13"	"TCGA-AA-3994-01A-01T-1114-13"	"TCGA-AA-A00D-01A-21R-A076-13"	"TCGA-AA-A00J-01A-31R-A076-13"	"TCGA-AA-A00L-01A-31R-A076-13"	"TCGA-AA-A00O-01A-11R-A076-13"	"TCGA-AA-A00Q-01A-31R-A076-13"	"TCGA-AA-A00U-01A-21R-A076-13"	"TCGA-AA-A00W-01A-21R-A076-13"	"TCGA-AA-A010-01A-54R-A076-13"	"TCGA-AA-A01D-01A-21R-A076-13"	"TCGA-AA-A01F-01A-21R-A076-13"	"TCGA-AA-A01G-01A-21R-A076-13"	"TCGA-AA-A024-01A-11R-A076-13"	"TCGA-AA-A029-01A-22R-A076-13"	"TCGA-AA-A02E-01A-21R-A076-13"	"TCGA-AA-A02F-01A-21R-A076-13"	"TCGA-AA-A02H-01A-31R-A076-13"	"TCGA-AA-A02J-01A-21R-A076-13"	"TCGA-AY-4070-01A-01T-1114-13"	"TCGA-AY-4071-01A-01T-1114-13"
hsa-let-7a-1	0.384979	-0.095925	-0.105883	-0.468202	0.742341	0.310421	0.241880	0.433440	-1.238945	-0.297595	-0.198547	0.030480	1.708949	-1.096106	-0.634894	-0.679639	-0.774775	0.283605	0.206752	0.706208	-0.428161	0.351020	-0.668376	-0.787185	-1.581334	0.307458	1.110831	-0.560188	-0.207487	3.156013	0.275778	0.297039	0.642109	0.902443	-0.533243	2.012790	-0.319402	0.931328	0.474485	-0.588569	-0.298426	-0.902634	-0.096220	0.123835	-1.010542	-0.149026	-0.981746	0.218872	-0.069092	-0.856831	1.223680	0.171440	-0.413504	-1.580212	-0.316410	-0.971613	0.165173	-0.838045	-0.335676	1.147777	-0.172802	-0.681722	-0.706668	-0.828485	-0.923736	-0.841692	-0.734310	-0.441180	-0.266377	0.277820	-1.090887	-0.845401	-0.195136	1.515602	-1.060452	0.305529	2.678446	1.233036	-0.105080	0.316821	5.171493	1.097137	-0.119453	-0.554483	0.463478	-0.749712	0.126124	0.301393	0.073633	-0.183900	-1.065937	-0.469798	
hsa-let-7a-2	0.428958	-0.068496	0.049141	-0.502395	0.842212	0.176682	0.256924	0.407537	-1.321463	-0.255315	-0.189969	0.162139	1.646956	-1.107310	-0.712985	-0.738338	-0.694153	0.195325	0.254574	0.781485	-0.393547	0.422375	-0.616998	-0.694612	-1.566452	0.293286	0.949878	-0.543562	-0.056331	3.119240	0.276992	0.353006	0.723752	0.933130	-0.449491	1.951259	-0.239592	1.006962	0.523048	-0.547143	-0.265494	-0.959012	-0.134897	0.325792	-1.067239	-0.284483	-1.005421	0.282985	-0.126781	-0.831610	1.222099	0.135682	-0.335066	-1.570015	-0.453101	-1.034720	0.212471	-0.709684	-0.364280	1.020253	-0.139494	-0.564011	-0.717312	-0.868726	-0.887630	-0.794305	-0.716953	-0.539032	-0.225672	0.179314	-1.100021	-0.834119	-0.249940	1.374472	-1.079533	0.272251	2.700663	1.233012	-0.169723	0.211338	5.243536	1.093785	-0.234049	-0.566795	0.495133	-0.833809	0.095757	0.319157	0.055002	-0.334643	-0.967197	-0.564643	
hsa-let-7a-3	0.426276	0.069023	-0.027671	-0.470922	0.766642	0.220194	0.285591	0.496403	-1.202557	-0.249812	-0.200473	0.185900	1.706271	-1.082927	-0.599709	-0.716892	-0.746108	0.266032	0.097597	0.656459	-0.345644	0.400703	-0.663579	-0.828479	-1.574054	0.310237	0.947171	-0.545094	-0.199227	3.172845	0.415766	0.290852	0.740230	0.881405	-0.421089	1.871350	-0.297134	0.990061	0.528721	-0.589440	-0.259767	-0.878468	-0.031625	0.247622	-1.005250	-0.165164	-1.063412	0.254580	-0.208931	-0.873263	1.213741	0.197645	-0.472686	-1.569590	-0.406632	-1.039501	0.301261	-0.673570	-0.343828	1.003945	-0.178168	-0.645306	-0.731677	-0.891451	-0.931328	-0.825344	-0.722522	-0.641796	-0.245934	0.238352	-1.065391	-0.823126	-0.287324	1.336820	-1.088826	0.166387	2.537537	1.350728	-0.028710	0.239208	5.304770	1.144621	-0.222281	-0.617873	0.471687	-0.771960	0.182249	0.281938	0.117938	-0.422812	-0.945655	-0.476773	
hsa-let-7b	-0.588792	1.113997	0.945589	-0.192614	-1.065420	-0.329042	-0.014764	-0.718261	0.338012	0.236588	-0.042885	0.284944	1.541852	-0.490936	-0.450342	0.003178	-0.728811	1.167906	-0.591507	0.521534	0.310281	0.573768	1.191821	-0.792950	-0.033610	0.639249	1.261772	0.340681	0.400047	3.518544	0.674006	0.368695	1.976293	0.509241	-0.264803	1.173909	-0.103397	1.520777	0.284343	-0.316782	-0.594437	-0.928714	-0.202298	0.410349	-0.424013	-0.501335	-0.789772	-0.161723	-0.595454	-1.102126	0.020526	0.511955	-0.685384	-1.678168	0.217548	-1.045536	-0.954578	0.053138	0.488919	2.666688	-0.873603	-1.045818	-0.484728	-0.546777	-1.164546	-0.903828	-1.125720	0.403922	0.813972	-0.186638	-1.304638	-1.085897	-0.591967	-0.127246	-1.335633	-0.434504	0.760679	1.238110	-0.388574	-1.237956	4.371677	0.897327	-0.367504	-0.888392	-0.108731	-0.592605	-0.008256	0.169019	-0.848965	-0.115162	-1.003485	-0.761228	
hsa-let-7c	1.916961	-0.373893	0.964170	-0.610882	1.178604	-0.202806	-0.081887	0.455508	3.120351	-0.724364	0.635575	2.883192	-0.857687	-0.433840	-1.202848	-0.519168	-1.163947	-0.607339	3.036034	0.343432	-0.557921	-0.519293	-0.313890	-0.603982	-0.969846	0.088749	-0.530657	0.287291	-0.334251	0.871793	-0.593974	-0.824240	0.001844	1.628678	0.446982	3.986275	-0.760908	1.262815	-0.925213	0.560896	1.935358	-0.588721	0.107364	2.392245	0.214109	-0.838576	-0.859543	-0.244893	-1.101979	-0.821576	0.221285	-0.671173	-0.605104	-0.720361	-0.194922	0.096088	-0.434116	-0.020531	-0.192893	0.505121	-0.896286	0.129511	-0.734443	0.484418	-0.668527	-0.310244	-0.874975	-0.309114	-0.418473	-0.921055	-0.261839	-0.511500	-0.078685	-0.508557	-1.035517	-0.170029	1.173623	0.331293	0.347988	-0.762666	-0.483833	-0.017843	-0.180027	-0.440806	0.674932	-0.815089	-0.177321	0.428784	-0.977246	0.363957	-0.019948	-0.493979	
hsa-let-7d	-0.192399	-0.602373	-0.250585	-0.479089	-0.538441	-0.010129	-0.449195	-0.510972	-1.286544	-0.367350	-0.984645	-0.264112	0.460168	-0.732206	-0.208649	-0.598690	-0.601150	-0.077468	1.653278	0.102869	-0.486479	-0.246419	0.334968	4.160352	2.632907	-0.670424	1.430687	-0.293437	1.617010	0.194023	0.256112	-0.154008	-0.031521	0.721103	-0.023536	1.741980	-0.450039	0.473295	0.872644	-0.932303	-0.698558	0.040548	-0.491962	-0.529677	-0.546952	-0.719671	-0.953078	-0.007585	-0.521854	-0.746547	-0.392123	0.294057	-0.732794	-0.409381	-0.455240	-0.900226	-0.386677	-0.838794	-0.699105	-0.232195	-1.017863	-1.110964	0.332904	-0.864968	-0.292886	0.507232	-0.655798	-0.300041	-0.655319	1.214952	-0.336354	-0.303195	-0.923599	0.493683	1.736121	-0.069422	0.585490	0.137905	1.822099	0.001839	4.386341	1.558586	-0.680922	0.185004	-0.326193	-0.503553	-0.251311	0.179523	-0.624071	1.780917	-0.781640	-0.505914	
hsa-let-7e	-0.321674	-0.502307	0.058346	-0.747817	0.371536	-0.044429	0.716402	0.340218	-0.203573	-0.707972	-0.192662	0.198986	-0.078120	-0.715567	-0.690840	-0.619282	-0.715368	-0.688621	0.247813	0.219137	-0.532753	-0.017327	-0.856167	-0.408434	-0.624805	-0.261028	-0.076424	-0.568936	-0.514215	-0.065520	-0.078065	-0.289476	-0.030211	0.438730	-0.525164	1.725392	-0.455906	-0.079886	1.482022	-0.002764	-0.355207	-0.344797	-0.533701	-0.042478	-0.305246	-0.326692	-0.416970	-0.650827	-0.853695	-0.291909	-0.046304	-0.233787	-0.758790	-0.303968	-0.294514	-0.362006	-0.023242	-0.315912	-0.476620	-0.248764	-0.822667	-0.651036	-0.044702	-0.288835	-0.651604	0.392508	0.029113	-0.787124	-0.363673	-0.224802	-0.608417	-0.114554	-0.672438	0.525700	-0.672453	1.146723	7.289866	0.121702	0.910575	0.546466	0.717288	2.110164	0.423930	0.046523	-0.059444	-0.204613	1.016350	1.313855	-0.114237	0.397509	2.739022	-0.444537	
hsa-let-7f-1	-0.732551	-0.813504	-0.412682	0.223310	-0.825747	0.532393	-0.201337	0.561503	-0.663668	-0.009252	-0.505059	-0.321225	0.043670	-0.800546	-0.508116	-1.073945	-0.304140	-0.154972	0.137714	-0.387501	-0.532387	-0.316879	-0.549461	-0.166292	0.155724	-0.504384	1.335581	-0.228684	0.087513	0.390652	-0.911102	0.557505	0.024563	-0.847045	0.654373	-0.451964	-0.162533	0.331830	0.476256	-1.007950	-1.064470	0.034789	-0.595894	-0.958346	-0.249234	0.135476	-0.751757	0.300385	0.163259	-0.293082	-0.641938	0.695601	-1.069935	-0.401971	-0.407467	-0.715542	0.023623	-0.596065	-1.089788	-0.024781	0.157751	-0.857247	1.264916	-0.458327	0.214604	1.307684	-0.356960	-0.649797	0.052364	0.887086	-0.166929	-0.021070	-0.687808	0.997546	1.121002	0.012334	1.837212	0.133512	4.422142	1.288060	5.698916	1.386912	-0.013891	0.192663	-0.984113	0.290959	-0.067538	0.499714	-0.605570	0.551742	-1.119357	-0.941037	
hsa-let-7f-2	0.709791	-0.838593	-0.191485	-0.192644	-1.024169	-0.147488	0.406193	-0.181165	-1.983080	-0.288940	-0.635830	-0.147423	0.352616	-1.249247	-0.803245	-0.953747	-0.823429	-0.269865	0.752716	1.068298	-0.988289	-0.187914	-1.449102	-0.199708	-1.281394	0.149623	0.828435	-1.373505	-0.341813	0.472856	-0.083069	-0.362350	-0.201085	-0.909949	-0.637531	1.134069	-0.132472	0.393545	0.690490	-0.829324	-0.044073	-0.821999	-0.424614	-0.048616	-0.749075	-0.007734	-0.710775	0.238748	-1.160688	-0.597374	1.837276	-0.224084	-0.054322	-0.059749	-0.775938	-1.291998	1.862226	-1.145760	0.093978	-0.039658	0.626347	-0.328048	0.147738	-0.781478	0.745818	-0.397207	0.224419	-0.567281	-0.818932	-0.532731	0.630560	-0.454126	-0.498026	1.125281	0.292993	0.576585	1.405364	0.794709	-0.252799	2.381916	5.234646	2.696502	0.864085	0.687951	-0.221162	0.092832	0.543548	0.773732	1.177487	-0.114704	-0.815170	0.632601	
hsa-let-7g	-0.400041	-1.068112	-0.460208	-1.318311	0.082062	0.494318	-0.098861	0.438804	-2.174690	-1.138715	-1.157417	-1.216212	0.469397	-0.785765	-0.134975	-0.796540	-1.043148	-1.173776	-0.217830	0.044759	-0.926336	0.505646	-1.419388	0.336946	-0.719160	0.125901	0.292567	0.067925	-0.257689	1.648026	-0.108533	0.795431	0.837339	3.426971	-0.301114	1.073293	0.358119	0.610037	1.331467	-0.859618	-0.275060	1.610253	-0.196181	-0.596770	-0.722705	-0.795933	-0.289827	-0.013599	-0.993581	0.137004	1.956953	-0.146177	-0.282929	1.559338	-0.368693	-1.345314	1.670160	-1.490541	0.306671	-0.144422	-0.541553	-1.171386	0.296775	-0.786840	-1.152024	1.957974	1.661382	-0.649580	-0.656137	0.287944	-0.183876	-0.620632	-1.168271	0.161968	-0.782081	1.250680	1.586001	-0.303874	2.481255	0.763659	1.776301	-0.083711	-0.302602	-0.299611	0.073557	-0.929797	0.717966	0.246868	-0.013737	0.040459	-0.217146	1.818853	
